"Country","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Faroe Islands","FRO","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.49000000953674","","1.11000001430511","1.10000002384186","","","1.39999997615814","","","","","","","","",
"Finland","FIN","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1400003433228","13.9799995422363","13.8599996566772","14.1499996185303","14.4399995803833","14.7600002288818","3.70000004768372","3.85999989509583","4.55000019073486","3.75","4.15999984741211","4.32000017166138","3.96000003814697","4","4.1100001335144","4.19000005722046","3.83999991416931","4.03999996185303","4","3.78999996185303","4.07000017166138","4.17000007629395","4.09000015258789","4.01999998092651","4.01999998092651","4.23000001907349","4.23000001907349","",
"France","FRA","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","4.26000022888184","4.42000007629395","4.30999994277954","4.28000020980835","4.44999980926514","4.57000017166138","4.51000022888184","4.78999996185303","4.76999998092651","4.94000005722046","4.82999992370605","4.75","4.69000005722046","4.65999984741211","4.67000007629395","4.69999980926514","4.57999992370605","4.32999992370605","4.19000005722046","4.07000017166138","4.34999990463257","4.3600001335144","4.34999990463257","4.46999979019165","4.40999984741211","4.63000011444092","4.48000001907349","4.46000003814697","4.44000005722046","4.34000015258789","4.30000019073486","4.23999977111816","4.26999998092651","4.26000022888184",
"French Polynesia","PYF","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8899993896484","","","","","","","","","","","","","","",
"Gabon","GAB","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.600000023841858","","","","","","","","","","","","","","","","","2.53999996185303","","","","","","",
"Gambia, The","GMB","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","","","","",
"Georgia","GEO","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.51999998092651","1.14999997615814","1.5","1.52999997138977","1.53999996185303","1.16999995708466","1.0900000333786","1.07000005245209","0.759999990463257","1.13999998569489","1.04999995231628","1.3400000333786","1.27999997138977","1.27999997138977","1.32000005245209","1.19000005722046","1.04999995231628","1.25","",
"Germany","DEU","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","4.75","5.13000011444092","4.92999982833862","4.96000003814697","4.8899998664856","4.69999980926514","5.01999998092651","4.88000011444092","4.5","4.76999998092651","4.96000003814697","5.26999998092651","5.11999988555908","5.05000019073486","5.07999992370605","5.09000015258789","5.1100001335144","5.03000020980835","5.01999998092651","4.96000003814697","5","5.17000007629395","4.90999984741211","4.88000011444092","4.84000015258789","4.76999998092651","4.82999992370605","4.8600001335144","4.76999998092651","4.76000022888184","4.71999979019165","4.6399998664856","4.61999988555908","",
"Ghana","GHA","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.86999988555908","","","6.19999980926514","","","",
"Gibraltar","GIB","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","5.67999982833862","5.11999988555908","5.03999996185303","5.61999988555908","5.5","5.59000015258789","5.57000017166138","5.6399998664856","6.32000017166138","6.94999980926514","7.23999977111816","7.03000020980835","6.40999984741211","6.92999982833862","7.13000011444092","7.26999998092651","7.57000017166138","7.96999979019165","8.18000030517578","7.48999977111816","7.19000005722046","7.94999980926514","7.86999988555908","8.01000022888184","8.02000045776367","8.34000015258789","8.27000045776367","7.84999990463257","7.65999984741211","7.05999994277954","6.65000009536743","6.32999992370605","6.88000011444092","",
"Greenland","GRL","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
